Experiment,Model,CV RMSE,CV std,Kaggle score,Notes
1,Ridge,0.14679,0.03932,0.13375,baseline
2,Ridge,0.11489,0.00818,0.13435,feature engineering + outlier removal
3,Ridge,0.14711,0.03976,0.1336,feature engineering without outlier removal
4,Ridge tuned,0.147,0.03976,0.13262,feature engineering + tuned alpha without outlier removal
5,Ridge,0.14702,0.04052,0.13261,model comparison with feature engineering
6,Lasso,0.14171,0.04326,0.13277,model comparison with feature engineering
7,ElasticNet,0.143,0.04132,0.13429,model comparison with feature engineering
8,RandomForestRegressor,0.14206,0.01889,0.14325,model comparison with feature engineering
9,HistGradientBoostingRegressor,0.13162,0.01786,,model comparison with feature engineering
10,GradientBoostingRegressor,0.13224,0.01683,0.1368,model comparison with feature engineering
